artist,facebook,twitter,website,genre,mtv
 Flatbush Zombies ,,,,,http://www.mtv.com/artists/flatbush-zombies/biography
 Volxsturm ,,,,,http://www.mtv.com/artists/volxsturm-1/biography
 Andrea Pearson ,,,,,http://www.cmt.com/artists/andrea-pearson/biography
 Katy McAllister ,,http://www.twitter.com/http://www.KatyMcAllister.com,http://www.katymcallister.com,Pop,http://www.mtv.com/artists/katy-mcallister/biography
 Red Shaydez ,http://www.facebook.com/110268539020388,http://www.twitter.com/http://redshaydez.com,http://www.chillinintheshade.com,Hip-Hop,http://www.mtv.com/artists/red-shaydez/biography
 Cathy Heller ,http://www.facebook.com/cathyhellermusic,http://www.twitter.com/cathyheller,,Singer/Songwriter,http://www.mtv.com/artists/cathy-heller/biography
 MonoNeon ,,,,Avant-Garde,http://www.mtv.com/artists/mononeon/biography
 Leo Ieiri ,,,,,http://www.mtv.com/artists/leo-ieiri/biography
 Stereo Lovers ,,,,,http://www.mtv.com/artists/stereo-lovers/biography
 Myze ,http://www.facebook.com/677244442327218,http://www.twitter.com/officialmyze,,Hip-Hop/Rap,http://www.mtv.com/artists/myze/biography
 Nosa Nosa ,,,,,http://www.mtv.com/artists/nosa-nosa/biography
 Mel Besher ,,,,,http://www.cmt.com/artists/mel-besher/biography
 Lauriana Mae ,,,,,http://www.mtv.com/artists/lauriana-mae/biography
 Nick Groff ,,,,,http://www.mtv.com/artists/nick-groff/biography
 Trinidad Jame$ ,http://www.facebook.com/134378226709934,http://www.twitter.com/trinidadjamesgg,http://trinidadjamesgg.com/,Hip-Hop/Rap,http://www.mtv.com/artists/trinidad-james/biography
 LATASHA LEE ,http://www.facebook.com/196054290506256,http://www.twitter.com/latashaleesing,,Soul,http://www.mtv.com/artists/latasha-lee/biography
 Clare Bowen ,,,,Country,http://www.cmt.com/artists/clare-bowen/biography
 Greg Bates ,http://www.facebook.com/154369017957457,http://www.twitter.com/gregcbates,,True Life,http://www.cmt.com/artists/greg-bates/biography
 Rae Ray ,,http://twitter.com/ARaeThing,http://www.Facebook.com/ARaeThing,Pop,http://www.mtv.com/artists/rae-ray-1/biography
 Make Me Famous ,,,,Rock,http://www.mtv.com/artists/make-me-famous/biography
 Seven Lions ,http://www.facebook.com/141529809200367,http://www.twitter.com/sevenlionsmusic,,Electronic/Dance,http://www.mtv.com/artists/seven-lions/biography
 Bankroll Bird ,,http://www.twitter.com/iambankroll,http://www.reverbnation.com/bankrollbird,Hip-Hop/Rap,http://www.mtv.com/artists/bankroll-bird/biography
 Snow Tha Product ,,,,,http://www.mtv.com/artists/snow-tha-product/biography
 Loso ,,,,,http://www.mtv.com/artists/loso/biography
 Eric Bellinger ,,,,,http://www.mtv.com/artists/eric-bellinger/biography
 Fist Pump Nation ,,,,,http://www.mtv.com/artists/fist-pump-nation/biography
 Usama Naseer ,http://www.facebook.com/644895945636086,http://www.twitter.com/UsamaNaseer,http://www.usamanaseer.com/,Pop,http://www.mtv.com/artists/usama-naseer/biography
 Mutemath ,,,http://mutemath.com,Alternative,http://www.mtv.com/artists/mutemath-00/biography
 Fall Back Plan ,http://www.facebook.com/fallbackplanband,http://www.twitter.com/http://www.legendfactoryrecords.com,,Alternative,http://www.mtv.com/artists/fall-back-plan/biography
 Fade Chromatic ,,,,,http://www.mtv.com/artists/fade-chromatic/biography
 The Heat ,https://www.facebook.com/groups/marysbaby81/512227835475633/?notif_t=group_activity,http://www.twitter.com/theheat201,,Hip-Hop/Rap,http://www.mtv.com/artists/the-heat/biography
 Bondax ,http://www.facebook.com/117831164938144,http://www.twitter.com/bondaxuk,,Electronic/Dance,http://www.mtv.com/artists/bondax/biography
 Jenna Jentry ,http://www.facebook.com/120832528025660,http://twitter.com/JennaJentry,http://www.jennajentry.com,Country,http://www.cmt.com/artists/jenna-jentry/biography
 Jeff Medina ,,,,,http://www.mtv.com/artists/jeff-medina/biography
